definition,rule,threshold_mode,climate_regime,stratum,n_stations,n_zero,component,estimate_pp,ci_low_pp,ci_high_pp
annual,both_inclusive,fixed,Dsa_cold_dry_summer,all,9,0,joint_change,16.33986928104575,-5.882352941176471,32.6797385620915
annual,both_inclusive,fixed,Dsa_cold_dry_summer,all,9,0,dry_marginal,6.093810073048828,-5.306612841214918,12.802768166089963
annual,both_inclusive,fixed,Dsa_cold_dry_summer,all,9,0,hot_marginal,12.629757785467127,2.70953479430988,19.72318339100346
annual,both_inclusive,fixed,Dsa_cold_dry_summer,all,9,0,excess_joint,-2.3836985774702035,-9.265667051134178,6.805074971164938
annual,both_inclusive,fixed,Dsa_cold_dry_summer,positive,9,0,joint_change,16.33986928104575,-5.882352941176471,32.6797385620915
annual,both_inclusive,fixed,Dsa_cold_dry_summer,positive,9,0,dry_marginal,6.093810073048828,-5.306612841214918,12.802768166089963
annual,both_inclusive,fixed,Dsa_cold_dry_summer,positive,9,0,hot_marginal,12.629757785467127,2.70953479430988,19.72318339100346
annual,both_inclusive,fixed,Dsa_cold_dry_summer,positive,9,0,excess_joint,-2.3836985774702035,-9.265667051134178,6.805074971164938
annual,strict,refitted,All,all,104,0,joint_change,20.6447963800905,9.219457013574658,40.83710407239817
annual,strict,refitted,All,all,104,0,dry_marginal,8.183058291189774,4.1787829385147734,18.6135879691243
annual,strict,refitted,All,all,104,0,hot_marginal,12.481700825126431,6.158504125632153,23.44473649188181
annual,strict,refitted,All,all,104,0,excess_joint,-0.01996273622571111,-4.349048442906574,3.4171213734362538
annual,strict,refitted,All,positive,104,0,joint_change,20.6447963800905,9.219457013574658,40.83710407239817
annual,strict,refitted,All,positive,104,0,dry_marginal,8.183058291189774,4.1787829385147734,18.6135879691243
annual,strict,refitted,All,positive,104,0,hot_marginal,12.481700825126431,6.158504125632153,23.44473649188181
annual,strict,refitted,All,positive,104,0,excess_joint,-0.01996273622571111,-4.349048442906574,3.4171213734362538
annual,strict,refitted,BWh_hot_desert,all,28,0,joint_change,20.588235294117645,11.554621848739496,39.915966386554615
annual,strict,refitted,BWh_hot_desert,all,28,0,dry_marginal,7.433267424616907,3.5899653979238764,18.134268413247675
annual,strict,refitted,BWh_hot_desert,all,28,0,hot_marginal,12.673010380622836,7.229362333168562,23.715088976767177
annual,strict,refitted,BWh_hot_desert,all,28,0,excess_joint,0.481957488877906,-3.831562036579338,3.4113939693524515
annual,strict,refitted,BWh_hot_desert,positive,28,0,joint_change,20.588235294117645,11.554621848739496,39.915966386554615
annual,strict,refitted,BWh_hot_desert,positive,28,0,dry_marginal,7.433267424616907,3.5899653979238764,18.134268413247675
annual,strict,refitted,BWh_hot_desert,positive,28,0,hot_marginal,12.673010380622836,7.229362333168562,23.715088976767177
annual,strict,refitted,BWh_hot_desert,positive,28,0,excess_joint,0.481957488877906,-3.831562036579338,3.4113939693524515
annual,strict,refitted,BWk_cold_desert,all,12,0,joint_change,25.0,6.862745098039215,47.54901960784313
annual,strict,refitted,BWk_cold_desert,all,12,0,dry_marginal,10.250865051903114,3.8494809688581317,23.055795847750876
annual,strict,refitted,BWk_cold_desert,all,12,0,hot_marginal,11.288927335640139,4.411043829296424,24.885380622837364
annual,strict,refitted,BWk_cold_desert,all,12,0,excess_joint,3.4602076124567476,-5.940023068050748,8.737024221453286
annual,strict,refitted,BWk_cold_desert,positive,12,0,joint_change,25.0,6.862745098039215,47.54901960784313
annual,strict,refitted,BWk_cold_desert,positive,12,0,dry_marginal,10.250865051903114,3.8494809688581317,23.055795847750876
annual,strict,refitted,BWk_cold_desert,positive,12,0,hot_marginal,11.288927335640139,4.411043829296424,24.885380622837364
annual,strict,refitted,BWk_cold_desert,positive,12,0,excess_joint,3.4602076124567476,-5.940023068050748,8.737024221453286
annual,strict,refitted,BSh_hot_steppe,all,7,0,joint_change,36.134453781512605,18.487394957983195,59.66386554621848
annual,strict,refitted,BSh_hot_steppe,all,7,0,dry_marginal,16.262975778546714,9.39199209095403,28.91868512110727
annual,strict,refitted,BSh_hot_steppe,all,7,0,hot_marginal,19.031141868512105,8.650519031141869,32.18116658428077
annual,strict,refitted,BSh_hot_steppe,all,7,0,excess_joint,0.8403361344537815,-5.637666831438458,6.5249629263470075
annual,strict,refitted,BSh_hot_steppe,positive,7,0,joint_change,36.134453781512605,18.487394957983195,59.66386554621848
annual,strict,refitted,BSh_hot_steppe,positive,7,0,dry_marginal,16.262975778546714,9.39199209095403,28.91868512110727
annual,strict,refitted,BSh_hot_steppe,positive,7,0,hot_marginal,19.031141868512105,8.650519031141869,32.18116658428077
annual,strict,refitted,BSh_hot_steppe,positive,7,0,excess_joint,0.8403361344537815,-5.637666831438458,6.5249629263470075
annual,strict,refitted,BSk_cold_steppe,all,33,0,joint_change,17.112299465240643,3.565062388591801,42.60249554367202
annual,strict,refitted,BSk_cold_steppe,all,33,0,dry_marginal,7.591485792177835,2.5369613085876064,20.347593582887708
annual,strict,refitted,BSk_cold_steppe,all,33,0,hot_marginal,11.030722449407573,4.392890846178044,23.72417951137674
annual,strict,refitted,BSk_cold_steppe,all,33,0,excess_joint,-1.5099087763447616,-7.864632484009647,4.205200796896302
annual,strict,refitted,BSk_cold_steppe,positive,33,0,joint_change,17.112299465240643,3.565062388591801,42.60249554367202
annual,strict,refitted,BSk_cold_steppe,positive,33,0,dry_marginal,7.591485792177835,2.5369613085876064,20.347593582887708
annual,strict,refitted,BSk_cold_steppe,positive,33,0,hot_marginal,11.030722449407573,4.392890846178044,23.72417951137674
annual,strict,refitted,BSk_cold_steppe,positive,33,0,excess_joint,-1.5099087763447616,-7.864632484009647,4.205200796896302
annual,strict,refitted,C_temperate,all,15,0,joint_change,16.862745098039213,6.2745098039215685,35.29411764705882
annual,strict,refitted,C_temperate,all,15,0,dry_marginal,5.38638985005767,1.384083044982699,15.640138408304496
