scenario,index_name,year,count,rate_pct
fixed_w5_t8_corrected,cool_nights,1998,23.433449074074073,6.630203498343796
fixed_w5_t8_corrected,cool_nights,1999,25.65277777777778,7.192729202353557
fixed_w5_t8_corrected,cool_nights,2000,30.541087962962962,8.557406781734521
fixed_w5_t8_corrected,cool_nights,2001,23.078703703703702,6.411305112238147
fixed_w5_t8_corrected,cool_nights,2002,25.22048611111111,7.0324649672349135
fixed_w5_t8_corrected,cool_nights,2003,33.972800925925924,9.47397288789568
fixed_w5_t8_corrected,cool_nights,2004,30.74363425925926,8.555355093544128
fixed_w5_t8_corrected,cool_nights,2005,27.69502314814815,7.652607703322474
fixed_w5_t8_corrected,cool_nights,2006,29.583333333333332,8.142506502212727
fixed_w5_t8_corrected,cool_nights,2007,34.125,9.375405318744154
fixed_w5_t8_corrected,cool_nights,2008,41.30555555555556,11.333835267892482
fixed_w5_t8_corrected,cool_nights,2009,27.24074074074074,7.47459636074553
fixed_w5_t8_corrected,cool_nights,2010,20.02777777777778,5.4927722386983575
fixed_w5_t8_corrected,cool_nights,2011,33.916666666666664,9.317361349454384
fixed_w5_t8_corrected,cool_nights,2012,29.25925925925926,8.066208768545879
fixed_w5_t8_corrected,cool_nights,2013,35.0462962962963,9.60423391930241
fixed_w5_t8_corrected,cool_nights,2014,28.98148148148148,7.993745746234237
fixed_w5_t8_corrected,cool_nights,2015,22.12962962962963,6.102229684398375
fixed_w5_t8_corrected,cool_nights,2016,27.212962962962962,7.490263281139367
fixed_w5_t8_corrected,cool_nights,2017,26.537037037037038,7.300001260855761
fixed_w5_t8_corrected,cool_nights,2018,15.194444444444445,4.177893737535672
fixed_w5_t8_corrected,cool_nights,2019,22.546296296296298,6.217738738383631
fixed_w5_t8_corrected,cool_nights,2020,27.14814814814815,7.455659001169188
fixed_w5_t8_corrected,cool_nights,2021,20.574074074074073,5.657098202185446
fixed_w5_t8_corrected,cool_nights,2022,19.02777777777778,5.217231818567986
fixed_w5_t8_corrected,cool_nights,2023,15.00925925925926,4.114607787254595
fixed_w5_t8_corrected,cool_nights,2024,18.59259259259259,5.096469600045843
fixed_w5_t8_corrected,warm_days,1991,22.072337962962962,6.063200257647725
fixed_w5_t8_corrected,warm_days,1992,10.265625,2.860777047419159
fixed_w5_t8_corrected,warm_days,1993,15.10011574074074,4.1723446235254205
fixed_w5_t8_corrected,warm_days,1994,23.64409722222222,6.525488600240936
fixed_w5_t8_corrected,warm_days,1995,33.47222222222222,9.261248672119482
fixed_w5_t8_corrected,warm_days,1996,28.759837962962962,7.933299236009265
