index_name,station_id,station_name,baseline_period,comparison_period,baseline_mean_days,comparison_mean_days,late_minus_baseline_days,expected_direction,direction_consistent
warm_nights,40796,Dehloran,1991-2007,2008-2024,32.529411764705884,64.76470588235294,32.23529411764706,increase,True
warm_nights,40797,Kuhrang,1991-2007,2008-2024,31.764705882352942,51.23529411764706,19.470588235294116,increase,True
warm_nights,40798,Shahrekord,1991-2007,2008-2024,33.76470588235294,31.823529411764707,-1.9411764705882355,increase,False
warm_nights,40799,Ardestan,1991-2007,2008-2024,33.25,55.76470588235294,22.514705882352942,increase,True
warm_nights,40800,Esfahan,1991-2007,2008-2024,31.375,67.82352941176471,36.44852941176471,increase,True
warm_nights,40801,Naein,1991-2007,2008-2024,33.1875,56.0,22.8125,increase,True
warm_nights,40802,Esfahan (Airport),1991-2007,2008-2024,33.588235294117645,43.35294117647059,9.764705882352942,increase,True
warm_nights,40803,Kabutarabad,1991-2007,2008-2024,34.3125,76.94117647058823,42.62867647058823,increase,True
warm_nights,40809,Birjand,1991-2007,2008-2024,35.11764705882353,47.411764705882355,12.294117647058826,increase,True
warm_nights,40810,Bostan,1991-2007,2008-2024,34.23529411764706,90.52941176470588,56.294117647058826,increase,True
warm_nights,40811,Ahvaz,1991-2007,2008-2024,33.05882352941177,74.58823529411765,41.529411764705884,increase,True
warm_nights,40812,Masjedsoleyman,1991-2007,2008-2024,32.23529411764706,63.88235294117647,31.647058823529413,increase,True
warm_nights,40813,Ramhormoz,1991-2007,2008-2024,31.705882352941178,79.76470588235294,48.05882352941177,increase,True
warm_nights,40818,Abadeh,1991-2007,2008-2024,32.76470588235294,72.82352941176471,40.05882352941177,increase,True
warm_nights,40821,Yazd,1991-2007,2008-2024,33.88235294117647,79.17647058823529,45.29411764705882,increase,True
warm_nights,40827,Nehbandan,1991-2007,2008-2024,33.64705882352941,46.411764705882355,12.764705882352942,increase,True
warm_nights,40829,Zabol,1991-2007,2008-2024,32.64705882352941,68.3529411764706,35.70588235294118,increase,True
warm_nights,40831,Abadan,1991-2007,2008-2024,35.23529411764706,92.41176470588235,57.17647058823529,increase,True
