index_name,station_id,station_name,cluster_baseline,cluster_hierarchical_complete_euclidean,cluster_hierarchical_ward_euclidean,cluster_hierarchical_average_cityblock,cluster_kmeans
warm_days,40810,Bostan,3,2,1,4,2
warm_days,40811,Ahvaz,3,1,1,4,2
warm_days,40812,Masjedsoleyman,3,1,1,4,2
warm_days,40813,Ramhormoz,3,1,1,4,2
warm_days,40818,Abadeh,3,2,1,4,2
warm_days,40821,Yazd,2,3,2,3,1
warm_days,40827,Nehbandan,2,3,2,3,1
warm_days,40829,Zabol,3,2,1,4,2
warm_days,40831,Abadan,3,1,1,4,2
warm_days,40832,Bandar-E- Mahshahr,3,1,1,4,2
warm_days,40833,Omidiyeh (Aghajari),3,1,1,4,2
warm_days,40835,Dogonbadan,3,1,1,4,2
warm_days,40836,Yasuj,3,1,1,4,1
warm_days,40839,Anar,2,3,2,3,1
warm_days,40841,Kerman,2,3,2,3,1
warm_days,40844,Dorudzan,3,1,1,4,2
warm_days,40847,Zarqan,3,1,1,4,2
warm_days,40848,Shiraz,3,1,1,4,2
warm_days,40849,Shahrebabak,3,1,1,4,2
warm_days,40851,Sirjan,3,1,1,4,1
warm_days,40853,Baft,3,2,1,4,2
warm_days,40854,Bam,3,2,1,4,2
warm_days,40856,Zahedan,2,3,3,3,4
warm_days,40857,Bushehr (Coastal),3,2,1,4,2
warm_days,40858,Bushehr (Airport),1,4,4,1,3
warm_days,40859,Fasa,2,3,2,3,1
warm_days,40870,Khash,2,3,3,3,4
warm_days,40873,Lar,2,3,2,3,1
warm_days,40875,Bandarabbas,2,3,3,3,4
warm_days,40876,Minab,3,2,1,4,2
warm_days,40877,Kahnuj,2,3,3,3,4
warm_days,40878,Saravan,2,3,3,3,4
warm_days,40879,Iranshahr,2,3,2,3,1
warm_days,40882,Kish Island,2,3,2,3,1
warm_days,40883,Bandar-E-Lengeh,2,3,2,3,1
warm_days,40889,Siri Island,2,3,3,3,4
warm_days,40890,Abumusa Island,3,2,1,4,2
warm_days,40893,Jask,1,4,4,2,3
warm_days,40898,Chahbahar,2,3,2,3,1
warm_days,88187,Jam,3,1,1,4,2
warm_days,99331,Tehran (Geophysic),3,1,1,4,2
warm_days,99407,Boshruyeh,2,3,3,3,4
warm_days,99421,Natanz,2,3,2,3,1
warm_days,99459,Borujen,3,2,1,4,2
warm_days,99623,Zahak,3,2,1,4,1
warm_nights,19996,Bahookalat,3,4,2,4,2
warm_nights,40700,Parsabad,4,4,4,4,4
warm_nights,40701,Maku,4,3,4,4,4
warm_nights,40702,Jolfa,4,2,3,4,1
warm_nights,40703,Khoy,4,2,3,4,1
warm_nights,40704,Ahar,4,3,4,4,4
warm_nights,40706,Tabriz,4,4,4,4,4
warm_nights,40708,Ardebil,4,3,3,4,1
warm_nights,40709,Astara,4,3,3,4,1
warm_nights,40710,Sarab,4,4,4,4,4
warm_nights,40712,Orumiyeh,3,4,2,2,2
warm_nights,40713,Maragheh-Synoptic,4,3,3,4,1
warm_nights,40716,Mianeh,4,3,3,4,1
warm_nights,40717,Khalkhal,4,3,4,4,4
warm_nights,40718,Bandar-E-Anzali,4,4,4,4,1
warm_nights,40719,Rasht,4,2,3,4,1
warm_nights,40723,Bojnurd,4,4,4,4,4
warm_nights,40724,Piranshahr,4,2,3,4,1
warm_nights,40726,Mahabad,4,3,4,4,4
warm_nights,40727,Saqez,4,4,4,4,4
warm_nights,40728,Takab,4,4,4,4,2
warm_nights,40729,Zanjan,4,3,4,4,4
warm_nights,40730,Khorramdareh,4,3,3,4,1
warm_nights,40731,Qazvin,4,3,4,4,4
warm_nights,40732,Ramsar,4,2,3,4,1
warm_nights,40734,Nowshahr,4,3,3,4,1
warm_nights,40736,Babolsar,4,3,3,4,1
warm_nights,40737,Gharakhil,4,3,4,4,4
warm_nights,40738,Gorgan,3,4,2,2,2
warm_nights,40739,Shahrud,3,4,2,2,2
warm_nights,40740,Quchan,1,1,1,1,3
warm_nights,40741,Sarakhs,4,3,4,4,4
warm_nights,40742,Biyarjomand,4,4,4,4,2
warm_nights,40743,Sabzevar,4,4,4,4,4
warm_nights,40744,Golmakan,4,4,4,4,4
warm_nights,40745,Mashhad,4,3,4,4,4
warm_nights,40746,Neyshabur,3,4,2,2,2
warm_nights,40747,Sanandaj,4,4,4,4,4
warm_nights,40748,Bijar,4,3,4,4,4
warm_nights,40749,Zarrineh,4,4,4,4,4
warm_nights,40751,Tehran (Shemiran),3,4,2,2,2
warm_nights,40752,Karaj,4,3,4,4,4
warm_nights,40754,Tehran (Mehrabad Airport),3,4,2,2,2
warm_nights,40755,Abali,4,4,4,2,2
warm_nights,40757,Semnan,3,4,2,2,2
warm_nights,40758,Garmsar,2,2,3,3,1
warm_nights,40762,Torbat-E Heydariyeh,4,4,4,4,2
warm_nights,40763,Kashmar,4,4,4,4,2
warm_nights,40764,Ravansar,4,4,4,4,4
warm_nights,40765,Sarpol-E-Zahab,4,4,4,4,4
warm_nights,40766,Kermanshah,4,4,4,4,4
warm_nights,40768,Hamedan (Airport),3,4,2,2,2
warm_nights,40769,Arak,4,4,4,4,4
warm_nights,40770,Qom,4,3,4,4,4
warm_nights,40771,Kangavar,3,4,2,2,2
warm_nights,40772,Qorveh,4,3,3,4,1
